city,lat,lng,country,iso2,capital,population,population_proper
Ferdows,34.0185,58.1725,Iran,IR,,28000,28000
Tabas,33.5959,56.9244,Iran,IR,,30000,30000
Nehbandan,31.5419,60.0367,Iran,IR,,20000,20000
Sarbisheh,32.5756,59.7983,Iran,IR,,15000,15000
Boshruyeh,33.8658,57.4269,Iran,IR,,10000,10000
Esfeden,33.8500,59.7833,Iran,IR,,8000,8000
Darmian,32.9500,59.9500,Iran,IR,,7000,7000
Mashhad,36.3069,59.6042,Iran,IR,admin,3074512,3074512
Neyshabur,36.2143,58.7961,Iran,IR,,239185,239185
Sabzevar,36.2126,57.6819,Iran,IR,,231819,231819
Torbat-e Heydarieh,35.2736,59.2195,Iran,IR,,140019,140019
Quchan,37.1060,58.5095,Iran,IR,,111752,111752
Kashmar,35.2383,58.4658,Iran,IR,,100000,100000
Chenaran,36.6458,59.1217,Iran,IR,,50000,50000
Sarakhs,36.5449,61.1577,Iran,IR,,35000,35000
Taybad,34.7448,60.7756,Iran,IR,,30000,30000
Torbat-e Jam,35.2433,60.6222,Iran,IR,,60000,60000
Bajestan,34.5167,58.1833,Iran,IR,,15000,15000
Bojnurd,37.4747,57.3290,Iran,IR,admin,199791,199791
Shirvan,37.3961,57.9292,Iran,IR,,82000,82000
Esfarayen,37.0761,57.5100,Iran,IR,,60000,60000
Ashkhaneh,37.5611,56.9211,Iran,IR,,20000,20000
Maneh,37.6500,56.7500,Iran,IR,,15000,15000
Jajarm,37.0250,56.3778,Iran,IR,,25000,25000
Raz,37.9333,57.1167,Iran,IR,,10000,10000
Faruj,37.2311,58.2189,Iran,IR,,15000,15000
Garmeh,36.9833,56.2833,Iran,IR,,8000,8000
Dargaz,37.3342,59.1083,Iran,IR,,35000,35000
Kalaleh,37.3800,55.4917,Iran,IR,,20000,20000
Semnan,35.5763,53.3959,Iran,IR,admin,196000,196000
Damghan,36.1679,54.3428,Iran,IR,,59000,59000
Shahroud,36.4182,54.9763,Iran,IR,,150000,150000
Garmsar,35.2233,52.3433,Iran,IR,,48000,48000
Mehdishahr,35.7106,53.3533,Iran,IR,,20000,20000
Aradan,35.2497,52.4917,Iran,IR,,15000,15000
Bastam,36.4828,55.0058,Iran,IR,,10000,10000
Gorgan,36.8416,54.4361,Iran,IR,admin,350676,350676
Gonbad-e Kavus,37.2500,55.1672,Iran,IR,,151910,151910
